parent_id,sku,width,height,length,weight,regular_price,type,featured,stock_status,backorders,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s)
HPICS,HPICS301T4V,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,Viton
HPICS,HPICS101N6B,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,Buna
HPICS,HPICS201N6B,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,Buna
HPICS,HPICS301N6B,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,Buna
HPICS,HPICS101F6B,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,Buna
HPICS,HPICS201F6B,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,Buna
HPICS,HPICS301F6B,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,Buna
HPICS,HPICS101T6B,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,Buna
HPICS,HPICS201T6B,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,Buna
HPICS,HPICS301T6B,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,Buna
HPICS,HPICS101N4B,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,Buna
